ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
46975,с.,Манастир,VAR,VAR24,VAR24-12,3,7,2,1901,NE,2934
46989,с.,Манастир,PDV,PDV15,PDV15-00,3,8,8,1901,S,2935
46992,с.,Манастир,HKV,HKV34,HKV34-22,3,7,3,1901,S,2936
47007,с.,Манастирица,TGV,TGV24,TGV24-00,3,8,4,1901,NE,2937
47010,с.,Манастирище,VRC,VRC35,VRC35-03,3,6,2,1901,NW,2938
47024,с.,Манастирище,SFO,SFO43,SFO43-00,3,8,7,1901,SW,2939
47038,с.,Манастирско,RAZ,RAZ17,RAZ17-14,3,7,5,1901,N,2940
47041,с.,Манастирци,RAZ,RAZ17,RAZ17-15,3,7,5,1901,N,2941
47055,с.,Мандра,HKV,HKV34,HKV34-23,3,6,4,1901,S,2942
47069,с.,Мандрица,HKV,HKV11,HKV11-00,3,8,2,1901,S,2943
47072,с.,Маневци,GAB,GAB35,GAB35-00,3,8,6,1901,N,2944
47086,с.,Маноле,PDV,PDV17,PDV17-10,3,4,3,1901,S,2945
47096,с.,Манолич,BGS,BGS23,BGS23-13,3,5,5,1901,SE,2946
47101,с.,Манолово,SZR,SZR24,SZR24-07,3,6,6,1901,SE,2947
47113,с.,Манолско Конаре,PDV,PDV17,PDV17-11,3,6,3,1901,S,2948
47127,с.,Маноя,GAB,GAB12,GAB12-00,3,8,5,1901,N,2949
47130,с.,Манушевци,TGV,TGV02,TGV02-00,3,8,6,1901,NE,2950
47144,с.,Манчево,KRZ,KRZ21,KRZ21-04,3,8,7,1901,S,2951
47158,с.,Марафелци,VTR,VTR13,VTR13-00,3,8,5,1901,N,2952
47161,с.,Мараш,SHU,SHU30,SHU30-13,3,6,3,1901,NE,2953
47175,с.,Марговци,VTR,VTR04,VTR04-09,3,8,6,1901,N,2954
47189,с.,Марикостиново,BLG,BLG33,BLG33-25,3,5,3,1901,SW,2955
47202,с.,Маринка,BGS,BGS04,BGS04-09,3,5,1,1901,SE,2956
47247,с.,Марино поле,BLG,BLG33,BLG33-26,3,6,2,1901,SW,2957
47250,с.,Марино поле,PDV,PDV13,PDV13-00,3,8,5,1901,S,2958
47227,с.,Мариновци,VTR,VTR13,VTR13-00,3,8,6,1901,N,2959
47264,с.,Марица,SFO,SFO39,SFO39-16,3,6,7,1901,SW,2960
47295,с.,Марково,PDV,PDV26,PDV26-18,3,5,4,1901,S,2961
47305,с.,Марково,SZR,SZR04,SZR04-00,3,8,4,1901,SE,2962
47319,с.,Марково,SHU,SHU19,SHU19-07,3,6,4,1901,NE,2963
47322,с.,Марково равнище,VRC,VRC32,VRC32-00,3,8,7,1901,NW,2964
47336,гр.,Мартен,RSE,RSE27,RSE27-03,1,4,1,1901,N,2965
47342,с.,Мартино,KRZ,KRZ16,KRZ16-00,3,8,6,1901,S,2966
47353,с.,Мартиново,MON,MON36,MON36-08,3,7,6,1901,NW,2967
47370,с.,Марулево,BLG,BLG03,BLG03-15,3,8,7,1901,SW,2968
47384,с.,Маруцековци,GAB,GAB35,GAB35-04,3,8,6,1901,N,2969
47408,с.,Марчево,BLG,BLG13,BLG13-08,3,7,6,1901,SW,2970
47411,с.,Марчино,TGV,TGV24,TGV24-00,3,8,4,1901,NE,2971
47425,с.,Марян,VTR,VTR13,VTR13-00,3,8,4,1901,N,2972
47439,с.,Масларево,VTR,VTR26,VTR26-08,3,6,2,1901,N,2973
47442,с.,Маслиново,HKV,HKV34,HKV34-24,3,7,5,1901,S,2974
47456,с.,Матешовци,GAB,GAB35,GAB35-00,3,8,6,1901,N,2975
47468,с.,Маточина,HKV,HKV28,HKV28-00,3,8,3,1901,S,2976
47473,с.,Махалата,BLG,BLG49,BLG49-00,3,8,7,1901,SW,2977
47487,с.,Махалници,VTR,VTR13,VTR13-00,3,8,5,1901,N,2978
47500,с.,Маца,SZR,SZR27,SZR27-14,3,8,4,1901,SE,2979
47528,с.,Медвен,SLV,SLV11,SLV11-10,3,7,5,1901,SE,2980
47531,с.,Медевци,KRZ,KRZ14,KRZ14-25,3,8,5,1901,S,2981
47545,с.,Меден бук,HKV,HKV11,HKV11-05,3,8,3,1901,S,2982
47562,с.,Меден кладенец,JAM,JAM25,JAM25-46,3,7,3,1901,SE,2983
47559,с.,Медени поляни,PAZ,PAZ39,PAZ39-02,3,6,8,1901,S,2984
47583,с.,Медешевци,VID,VID15,VID15-00,3,8,3,1901,NW,2985
47593,с.,Медковец,MON,MON26,MON26-00,3,5,3,1901,NW,2986
47603,с.,Медникарово,SZR,SZR07,SZR07-05,3,7,3,1901,SE,2987
47617,с.,Медовене,RAZ,RAZ16,RAZ16-07,3,7,4,1901,N,2988
47620,с.,Медовец,VAR,VAR16,VAR16-09,3,5,4,1901,NE,2989
47634,с.,Медовина,TGV,TGV24,TGV24-24,3,6,5,1901,NE,2990
47648,с.,Медовница,VID,VID16,VID16-15,3,7,4,1901,NW,2991
47651,с.,Медово,BGS,BGS17,BGS17-14,3,6,3,1901,SE,2992
47665,с.,Медово,SZR,SZR04,SZR04-10,3,7,4,1901,SE,2993
47679,с.,Медово,DOB,DOB15,DOB15-00,3,8,4,1901,NE,2994
47682,с.,Межда,JAM,JAM25,JAM25-47,3,7,3,1901,SE,2995
47696,с.,Межден,SLS,SLS10,SLS10-10,3,6,4,1901,N,2996
47706,с.,Междени,GAB,GAB05,GAB05-00,3,8,6,1901,N,2997
